,Algorithm,Run,Step,vehicle,x,y
0,DRL,0,0,0,24,21
1,DRL,0,0,1,28,24
2,DRL,0,0,2,27,19
3,DRL,0,0,3,24,24
4,DRL,0,1,0,24,22
5,DRL,0,1,1,28,25
6,DRL,0,1,2,27,20
7,DRL,0,1,3,25,25
8,DRL,0,2,0,24,23
9,DRL,0,2,1,28,24
10,DRL,0,2,2,27,21
11,DRL,0,2,3,25,26
12,DRL,0,3,0,24,22
13,DRL,0,3,1,28,23
14,DRL,0,3,2,26,20
15,DRL,0,3,3,26,25
16,DRL,0,4,0,23,21
17,DRL,0,4,1,28,22
18,DRL,0,4,2,25,19
19,DRL,0,4,3,25,24
20,DRL,0,5,0,22,20
21,DRL,0,5,1,27,21
22,DRL,0,5,2,24,18
23,DRL,0,5,3,24,23
24,DRL,0,6,0,21,19
25,DRL,0,6,1,27,20
26,DRL,0,6,2,24,17
27,DRL,0,6,3,24,22
28,DRL,0,7,0,20,18
29,DRL,0,7,1,27,19
30,DRL,0,7,2,24,16
31,DRL,0,7,3,23,21
32,DRL,0,8,0,20,17
33,DRL,0,8,1,27,18
34,DRL,0,8,2,24,15
35,DRL,0,8,3,24,20
36,DRL,0,9,0,21,16
37,DRL,0,9,1,27,17
38,DRL,0,9,2,25,14
39,DRL,0,9,3,25,19
40,DRL,0,10,0,22,15
41,DRL,0,10,1,27,16
42,DRL,0,10,2,24,13
43,DRL,0,10,3,26,18
44,DRL,0,11,0,21,16
45,DRL,0,11,1,27,15
46,DRL,0,11,2,25,12
47,DRL,0,11,3,27,17
48,DRL,0,12,0,22,15
49,DRL,0,12,1,27,14
50,DRL,0,12,2,24,12
51,DRL,0,12,3,28,16
52,DRL,0,13,0,23,14
53,DRL,0,13,1,28,13
54,DRL,0,13,2,25,11
55,DRL,0,13,3,28,15
56,DRL,0,14,0,24,14
57,DRL,0,14,1,29,13
58,DRL,0,14,2,24,12
59,DRL,0,14,3,29,16
60,DRL,0,15,0,25,14
61,DRL,0,15,1,30,14
62,DRL,0,15,2,25,13
63,DRL,0,15,3,29,17
64,DRL,0,16,0,24,15
65,DRL,0,16,1,29,15
66,DRL,0,16,2,24,14
67,DRL,0,16,3,28,18
68,DRL,0,17,0,23,16
69,DRL,0,17,1,28,16
70,DRL,0,17,2,23,15
71,DRL,0,17,3,27,19
72,DRL,0,18,0,22,17
73,DRL,0,18,1,27,16
74,DRL,0,18,2,22,15
75,DRL,0,18,3,26,19
76,DRL,0,19,0,21,18
77,DRL,0,19,1,26,15
78,DRL,0,19,2,21,15
79,DRL,0,19,3,25,18
