,Algorithm,Run,Step,vehicle,x,y
0,DRL,0,0,0,24,21
1,DRL,0,0,1,28,24
2,DRL,0,0,2,27,19
3,DRL,0,0,3,24,24
4,DRL,0,1,0,24,20
5,DRL,0,1,1,27,24
6,DRL,0,1,2,27,18
7,DRL,0,1,3,24,23
8,DRL,0,2,0,24,19
9,DRL,0,2,1,27,23
10,DRL,0,2,2,27,17
11,DRL,0,2,3,25,22
12,DRL,0,3,0,24,18
13,DRL,0,3,1,28,22
14,DRL,0,3,2,27,16
15,DRL,0,3,3,26,21
16,DRL,0,4,0,24,17
17,DRL,0,4,1,29,21
18,DRL,0,4,2,27,15
19,DRL,0,4,3,27,20
20,DRL,0,5,0,23,17
21,DRL,0,5,1,30,21
22,DRL,0,5,2,26,15
23,DRL,0,5,3,28,19
24,DRL,0,6,0,22,17
25,DRL,0,6,1,31,22
26,DRL,0,6,2,25,15
27,DRL,0,6,3,29,18
28,DRL,0,7,0,21,17
29,DRL,0,7,1,32,22
30,DRL,0,7,2,25,14
31,DRL,0,7,3,30,17
32,DRL,0,8,0,20,17
33,DRL,0,8,1,33,22
34,DRL,0,8,2,24,14
35,DRL,0,8,3,31,16
36,DRL,0,9,0,19,17
37,DRL,0,9,1,34,23
38,DRL,0,9,2,23,14
39,DRL,0,9,3,31,15
40,DRL,0,10,0,19,16
41,DRL,0,10,1,35,22
42,DRL,0,10,2,24,13
43,DRL,0,10,3,31,14
44,DRL,0,11,0,20,15
45,DRL,0,11,1,36,21
46,DRL,0,11,2,25,12
47,DRL,0,11,3,31,13
48,DRL,0,12,0,21,14
49,DRL,0,12,1,36,20
50,DRL,0,12,2,26,11
51,DRL,0,12,3,32,13
52,DRL,0,13,0,22,13
53,DRL,0,13,1,37,19
54,DRL,0,13,2,27,11
55,DRL,0,13,3,33,13
56,DRL,0,14,0,22,12
57,DRL,0,14,1,38,18
58,DRL,0,14,2,28,12
59,DRL,0,14,3,34,14
60,DRL,0,15,0,22,11
61,DRL,0,15,1,39,19
62,DRL,0,15,2,29,12
63,DRL,0,15,3,35,15
64,DRL,0,16,0,23,10
65,DRL,0,16,1,39,20
66,DRL,0,16,2,30,12
67,DRL,0,16,3,34,16
68,DRL,0,17,0,24,9
69,DRL,0,17,1,38,21
70,DRL,0,17,2,30,11
71,DRL,0,17,3,34,17
72,DRL,0,18,0,25,8
73,DRL,0,18,1,37,22
74,DRL,0,18,2,30,10
75,DRL,0,18,3,33,18
76,DRL,0,19,0,26,7
77,DRL,0,19,1,37,23
78,DRL,0,19,2,31,9
79,DRL,0,19,3,32,19
