,Algorithm,Run,Step,Accumulated Reward,Disconnections
0,Genetic Algorithm,0,1,1.0624056309461594,0
1,Genetic Algorithm,0,2,1.6778249795734883,0
2,Genetic Algorithm,0,3,1.8563094261288644,0
3,Genetic Algorithm,0,4,2.099681747555733,0
4,Genetic Algorithm,0,5,1.6082298928499221,0
5,Genetic Algorithm,0,6,1.2415670217573642,0
6,Genetic Algorithm,0,7,1.479591526687145,0
7,Genetic Algorithm,0,8,1.6127204677588511,0
8,Genetic Algorithm,0,9,1.7482438948876429,0
9,Genetic Algorithm,0,10,2.294964414922075,0
10,Genetic Algorithm,0,11,2.699546354053097,0
11,Genetic Algorithm,0,12,3.432965641406851,0
12,Genetic Algorithm,0,13,4.067557004330235,0
13,Genetic Algorithm,0,14,4.756828975019531,0
14,Genetic Algorithm,0,15,4.996260223177748,0
15,Genetic Algorithm,0,16,5.085828262207585,0
16,Genetic Algorithm,0,17,5.451244766203242,0
17,Genetic Algorithm,0,18,5.975447700557786,0
18,Genetic Algorithm,0,19,6.072130510745126,0
19,Genetic Algorithm,0,20,6.180529286100886,0
20,Genetic Algorithm,0,21,6.4157851888829684,0
21,Genetic Algorithm,0,22,6.817402263193748,0
22,Genetic Algorithm,0,23,7.305961969404838,0
23,Genetic Algorithm,0,24,7.633557354866884,0
24,Genetic Algorithm,0,25,7.955736763834379,0
25,Genetic Algorithm,0,26,7.138744812219761,0
26,Genetic Algorithm,0,27,7.606805760025404,0
27,Genetic Algorithm,0,28,8.044121121599696,0
28,Genetic Algorithm,0,29,8.41902028328123,0
29,Genetic Algorithm,0,30,8.640840986666182,0
30,Genetic Algorithm,0,31,8.830876051482658,0
31,Genetic Algorithm,0,32,9.248671507012943,0
32,Genetic Algorithm,0,33,9.566231280115346,0
33,Genetic Algorithm,0,34,9.770538196970621,0
34,Genetic Algorithm,0,35,9.959123231728475,0
35,Genetic Algorithm,0,36,10.146259147050259,0
36,Genetic Algorithm,0,37,10.26795040921348,0
37,Genetic Algorithm,0,38,9.276429436961587,0
38,Genetic Algorithm,1,1,0.5765226632356644,0
39,Genetic Algorithm,1,2,0.8242978801578283,0
40,Genetic Algorithm,1,3,0.9328600110858679,0
41,Genetic Algorithm,1,4,1.0065259112045168,0
42,Genetic Algorithm,1,5,0.5104220027476549,0
43,Genetic Algorithm,1,6,0.050207444652915045,0
44,Genetic Algorithm,1,7,0.12158789224922661,0
45,Genetic Algorithm,1,8,0.15025337805368197,0
46,Genetic Algorithm,1,9,0.18363642868913901,0
47,Genetic Algorithm,1,10,0.3427692006281783,0
48,Genetic Algorithm,1,11,0.46868230839587943,0
49,Genetic Algorithm,1,12,0.664974204128163,0
50,Genetic Algorithm,1,13,0.8167818406722713,0
51,Genetic Algorithm,1,14,0.9948864713437129,0
52,Genetic Algorithm,1,15,1.0424102611220647,0
53,Genetic Algorithm,1,16,1.0734911807007361,0
54,Genetic Algorithm,1,17,1.1621892877794076,0
55,Genetic Algorithm,1,18,1.3037402239940334,0
56,Genetic Algorithm,1,19,1.325423407082932,0
57,Genetic Algorithm,1,20,1.316245556588641,0
58,Genetic Algorithm,1,21,1.3564432236304345,0
59,Genetic Algorithm,1,22,1.424670941227472,0
60,Genetic Algorithm,1,23,1.5007177775850358,0
61,Genetic Algorithm,1,24,1.5545860471887352,0
62,Genetic Algorithm,1,25,1.6233032587667764,0
63,Genetic Algorithm,1,26,0.6616314551172615,0
64,Genetic Algorithm,1,27,0.7738486391430558,0
65,Genetic Algorithm,1,28,0.8743168889297009,0
66,Genetic Algorithm,1,29,0.9450508734894754,0
67,Genetic Algorithm,1,30,0.9694917509769132,0
68,Genetic Algorithm,1,31,0.9999099048663904,0
69,Genetic Algorithm,1,32,1.0785079133574893,0
70,Genetic Algorithm,1,33,1.1474627136503388,0
71,Genetic Algorithm,1,34,1.19160839247229,0
72,Genetic Algorithm,1,35,1.230125500147142,0
73,Genetic Algorithm,1,36,1.254840295231367,0
74,Genetic Algorithm,1,37,1.2785131191279986,0
75,Genetic Algorithm,1,38,0.2801590682290742,0
76,Genetic Algorithm,2,1,1.0083113759756088,0
77,Genetic Algorithm,2,2,1.5559828913211824,0
78,Genetic Algorithm,2,3,1.75551314458251,0
79,Genetic Algorithm,2,4,1.9436770555377008,0
80,Genetic Algorithm,2,5,1.4511081284284593,0
81,Genetic Algorithm,2,6,1.0610291381180288,0
82,Genetic Algorithm,2,7,1.2724466974288227,0
83,Genetic Algorithm,2,8,1.3847121881074478,0
84,Genetic Algorithm,2,9,1.4940423460430672,0
85,Genetic Algorithm,2,10,1.981259746564107,0
86,Genetic Algorithm,2,11,2.389312215609031,0
87,Genetic Algorithm,2,12,3.1306342330700927,0
