,Algorithm,Run,Step,vehicle,x,y
0,Genetic Algorithm,0,1,0,24,21
1,Genetic Algorithm,0,1,1,28,24
2,Genetic Algorithm,0,1,2,27,19
3,Genetic Algorithm,0,1,3,24,24
4,Genetic Algorithm,0,2,0,24,21
5,Genetic Algorithm,0,2,1,28,24
6,Genetic Algorithm,0,2,2,27,19
7,Genetic Algorithm,0,2,3,24,24
8,Genetic Algorithm,0,3,0,24,21
9,Genetic Algorithm,0,3,1,28,24
10,Genetic Algorithm,0,3,2,27,19
11,Genetic Algorithm,0,3,3,24,24
12,Genetic Algorithm,0,4,0,24,21
13,Genetic Algorithm,0,4,1,28,24
14,Genetic Algorithm,0,4,2,27,19
15,Genetic Algorithm,0,4,3,24,24
16,Genetic Algorithm,0,5,0,24,21
17,Genetic Algorithm,0,5,1,28,24
18,Genetic Algorithm,0,5,2,27,19
19,Genetic Algorithm,0,5,3,24,24
20,Genetic Algorithm,0,6,0,24,21
21,Genetic Algorithm,0,6,1,28,24
22,Genetic Algorithm,0,6,2,27,19
23,Genetic Algorithm,0,6,3,24,24
24,Genetic Algorithm,0,7,0,24,21
25,Genetic Algorithm,0,7,1,28,24
26,Genetic Algorithm,0,7,2,27,19
27,Genetic Algorithm,0,7,3,24,24
28,Genetic Algorithm,0,8,0,24,21
29,Genetic Algorithm,0,8,1,28,24
30,Genetic Algorithm,0,8,2,27,19
31,Genetic Algorithm,0,8,3,24,24
32,Genetic Algorithm,0,9,0,24,21
33,Genetic Algorithm,0,9,1,28,24
34,Genetic Algorithm,0,9,2,27,19
35,Genetic Algorithm,0,9,3,24,24
36,Genetic Algorithm,0,10,0,24,21
37,Genetic Algorithm,0,10,1,28,24
38,Genetic Algorithm,0,10,2,27,19
39,Genetic Algorithm,0,10,3,24,24
40,Genetic Algorithm,0,11,0,24,21
41,Genetic Algorithm,0,11,1,28,24
42,Genetic Algorithm,0,11,2,27,19
43,Genetic Algorithm,0,11,3,24,24
44,Genetic Algorithm,0,12,0,24,21
45,Genetic Algorithm,0,12,1,28,24
46,Genetic Algorithm,0,12,2,27,19
47,Genetic Algorithm,0,12,3,24,24
48,Genetic Algorithm,0,13,0,24,21
49,Genetic Algorithm,0,13,1,28,24
50,Genetic Algorithm,0,13,2,27,19
51,Genetic Algorithm,0,13,3,24,24
52,Genetic Algorithm,0,14,0,24,21
53,Genetic Algorithm,0,14,1,28,24
54,Genetic Algorithm,0,14,2,27,19
55,Genetic Algorithm,0,14,3,24,24
56,Genetic Algorithm,0,15,0,24,21
57,Genetic Algorithm,0,15,1,28,24
58,Genetic Algorithm,0,15,2,27,19
59,Genetic Algorithm,0,15,3,24,24
60,Genetic Algorithm,0,16,0,24,21
61,Genetic Algorithm,0,16,1,28,24
62,Genetic Algorithm,0,16,2,27,19
63,Genetic Algorithm,0,16,3,24,24
64,Genetic Algorithm,0,17,0,24,21
65,Genetic Algorithm,0,17,1,28,24
66,Genetic Algorithm,0,17,2,27,19
67,Genetic Algorithm,0,17,3,24,24
68,Genetic Algorithm,0,18,0,24,21
69,Genetic Algorithm,0,18,1,28,24
70,Genetic Algorithm,0,18,2,27,19
71,Genetic Algorithm,0,18,3,24,24
72,Genetic Algorithm,0,19,0,24,21
73,Genetic Algorithm,0,19,1,28,24
74,Genetic Algorithm,0,19,2,27,19
75,Genetic Algorithm,0,19,3,24,24
76,Genetic Algorithm,0,20,0,24,21
77,Genetic Algorithm,0,20,1,28,24
78,Genetic Algorithm,0,20,2,27,19
79,Genetic Algorithm,0,20,3,24,24
80,Genetic Algorithm,0,21,0,24,21
81,Genetic Algorithm,0,21,1,28,24
82,Genetic Algorithm,0,21,2,27,19
83,Genetic Algorithm,0,21,3,24,24
84,Genetic Algorithm,0,22,0,24,21
85,Genetic Algorithm,0,22,1,28,24
86,Genetic Algorithm,0,22,2,27,19
87,Genetic Algorithm,0,22,3,24,24
88,Genetic Algorithm,0,23,0,24,21
89,Genetic Algorithm,0,23,1,28,24
90,Genetic Algorithm,0,23,2,27,19
91,Genetic Algorithm,0,23,3,24,24
92,Genetic Algorithm,0,24,0,24,21
93,Genetic Algorithm,0,24,1,28,24
94,Genetic Algorithm,0,24,2,27,19
95,Genetic Algorithm,0,24,3,24,24
96,Genetic Algorithm,0,25,0,24,21
97,Genetic Algorithm,0,25,1,28,24
98,Genetic Algorithm,0,25,2,27,19
99,Genetic Algorithm,0,25,3,24,24
100,Genetic Algorithm,0,26,0,24,21
101,Genetic Algorithm,0,26,1,28,24
102,Genetic Algorithm,0,26,2,27,19
103,Genetic Algorithm,0,26,3,24,24
104,Genetic Algorithm,0,27,0,24,21
105,Genetic Algorithm,0,27,1,28,24
106,Genetic Algorithm,0,27,2,27,19
