,Algorithm,Run,Step,vehicle,x,y
0,Lawnmower,0,0,0,24,21
1,Lawnmower,0,0,1,28,24
2,Lawnmower,0,0,2,27,19
3,Lawnmower,0,0,3,24,24
4,Lawnmower,0,1,0,24,22
5,Lawnmower,0,1,1,28,25
6,Lawnmower,0,1,2,27,20
7,Lawnmower,0,1,3,24,25
8,Lawnmower,0,2,0,24,23
9,Lawnmower,0,2,1,28,26
10,Lawnmower,0,2,2,27,21
11,Lawnmower,0,2,3,24,26
12,Lawnmower,0,3,0,24,22
13,Lawnmower,0,3,1,28,25
14,Lawnmower,0,3,2,27,20
15,Lawnmower,0,3,3,24,25
16,Lawnmower,0,4,0,24,21
17,Lawnmower,0,4,1,28,24
18,Lawnmower,0,4,2,27,19
19,Lawnmower,0,4,3,24,24
20,Lawnmower,0,5,0,24,20
21,Lawnmower,0,5,1,28,23
22,Lawnmower,0,5,2,27,18
23,Lawnmower,0,5,3,24,23
24,Lawnmower,0,6,0,24,19
25,Lawnmower,0,6,1,28,22
26,Lawnmower,0,6,2,27,17
27,Lawnmower,0,6,3,24,22
28,Lawnmower,0,7,0,24,18
29,Lawnmower,0,7,1,28,21
30,Lawnmower,0,7,2,27,16
31,Lawnmower,0,7,3,24,21
32,Lawnmower,0,8,0,24,17
33,Lawnmower,0,8,1,28,20
34,Lawnmower,0,8,2,27,15
35,Lawnmower,0,8,3,24,20
36,Lawnmower,0,9,0,24,16
37,Lawnmower,0,9,1,28,19
38,Lawnmower,0,9,2,27,14
39,Lawnmower,0,9,3,24,19
40,Lawnmower,0,10,0,24,15
41,Lawnmower,0,10,1,28,18
42,Lawnmower,0,10,2,27,13
43,Lawnmower,0,10,3,24,18
44,Lawnmower,0,11,0,24,14
45,Lawnmower,0,11,1,28,17
46,Lawnmower,0,11,2,27,12
47,Lawnmower,0,11,3,24,17
48,Lawnmower,0,12,0,24,13
49,Lawnmower,0,12,1,28,16
50,Lawnmower,0,12,2,27,11
51,Lawnmower,0,12,3,24,16
52,Lawnmower,0,13,0,24,12
53,Lawnmower,0,13,1,28,15
54,Lawnmower,0,13,2,27,10
55,Lawnmower,0,13,3,24,15
56,Lawnmower,0,14,0,24,11
57,Lawnmower,0,14,1,28,14
58,Lawnmower,0,14,2,27,9
59,Lawnmower,0,14,3,24,14
