,Algorithm,Run,Step,vehicle,x,y
0,Random Fleet Wandering,0,0,0,24,21
1,Random Fleet Wandering,0,0,1,28,24
2,Random Fleet Wandering,0,0,2,27,19
3,Random Fleet Wandering,0,0,3,24,24
4,Random Fleet Wandering,0,1,0,25,21
5,Random Fleet Wandering,0,1,1,29,24
6,Random Fleet Wandering,0,1,2,28,19
7,Random Fleet Wandering,0,1,3,25,24
8,Random Fleet Wandering,0,2,0,26,21
9,Random Fleet Wandering,0,2,1,30,24
10,Random Fleet Wandering,0,2,2,29,19
11,Random Fleet Wandering,0,2,3,26,24
12,Random Fleet Wandering,0,3,0,27,21
13,Random Fleet Wandering,0,3,1,31,24
14,Random Fleet Wandering,0,3,2,30,19
15,Random Fleet Wandering,0,3,3,27,24
16,Random Fleet Wandering,0,4,0,28,21
17,Random Fleet Wandering,0,4,1,32,24
18,Random Fleet Wandering,0,4,2,31,19
19,Random Fleet Wandering,0,4,3,28,24
20,Random Fleet Wandering,0,5,0,29,21
21,Random Fleet Wandering,0,5,1,33,24
22,Random Fleet Wandering,0,5,2,32,19
23,Random Fleet Wandering,0,5,3,29,24
24,Random Fleet Wandering,0,6,0,30,21
25,Random Fleet Wandering,0,6,1,34,24
26,Random Fleet Wandering,0,6,2,33,19
27,Random Fleet Wandering,0,6,3,30,24
28,Random Fleet Wandering,0,7,0,31,21
29,Random Fleet Wandering,0,7,1,35,24
30,Random Fleet Wandering,0,7,2,34,19
31,Random Fleet Wandering,0,7,3,31,24
32,Random Fleet Wandering,0,8,0,32,21
33,Random Fleet Wandering,0,8,1,36,24
34,Random Fleet Wandering,0,8,2,35,19
35,Random Fleet Wandering,0,8,3,32,24
36,Random Fleet Wandering,0,9,0,33,21
37,Random Fleet Wandering,0,9,1,37,24
38,Random Fleet Wandering,0,9,2,36,19
39,Random Fleet Wandering,0,9,3,33,24
40,Random Fleet Wandering,0,10,0,34,21
41,Random Fleet Wandering,0,10,1,38,24
42,Random Fleet Wandering,0,10,2,37,19
43,Random Fleet Wandering,0,10,3,34,24
44,Random Fleet Wandering,0,11,0,35,21
45,Random Fleet Wandering,0,11,1,39,24
46,Random Fleet Wandering,0,11,2,38,19
47,Random Fleet Wandering,0,11,3,35,24
48,Random Fleet Wandering,0,12,0,36,21
49,Random Fleet Wandering,0,12,1,40,24
50,Random Fleet Wandering,0,12,2,39,19
51,Random Fleet Wandering,0,12,3,36,24
52,Random Fleet Wandering,0,13,0,37,21
53,Random Fleet Wandering,0,13,1,41,24
54,Random Fleet Wandering,0,13,2,40,19
55,Random Fleet Wandering,0,13,3,37,24
56,Random Fleet Wandering,0,14,0,38,21
57,Random Fleet Wandering,0,14,1,42,24
58,Random Fleet Wandering,0,14,2,41,19
59,Random Fleet Wandering,0,14,3,38,24
60,Random Fleet Wandering,0,15,0,39,21
61,Random Fleet Wandering,0,15,1,43,24
62,Random Fleet Wandering,0,15,2,42,19
63,Random Fleet Wandering,0,15,3,39,24
64,Random Fleet Wandering,0,16,0,40,21
65,Random Fleet Wandering,0,16,1,44,24
66,Random Fleet Wandering,0,16,2,43,19
67,Random Fleet Wandering,0,16,3,40,24
68,Random Fleet Wandering,0,17,0,41,21
